osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
node,4202727313,29.6310323,-82.4385282,2317,Southwest 91st Street,,Gainesville,FL,,US,"2317 Southwest 91st Street, Gainesville FL, US",103332,84912740,84912743,Southwest 24th Avenue,60.4
node,13702859673,29.6311395,-82.3386422,2209,SW 13th Street,,Gainesville,FL,32608,,"2209 SW 13th Street, Gainesville FL 32608",113089,10129057980,2089578741,Southwest 13th Street,60.45
way,1065346647,29.602905751040442,-82.37576630385752,5505,Southwest 41st Boulevard,,Gainesville,FL,32608,,"5505 Southwest 41st Boulevard, Gainesville FL 32608",78521,84793267,2166336906,,60.5
way,503480776,29.616133299575647,-82.35597496802839,4000,Southwest 23rd Street,,Gainesville,FL,32608,,"4000 Southwest 23rd Street, Gainesville FL 32608",84841,4560980823,2166337257,Southwest 23rd Street,60.55
node,13485226973,29.127824,-82.2204819,6150,SW 60th Ave,1215,Ocala,FL,34474,,"6150 SW 60th Ave #1215, Ocala FL 34474",55553,98834931,3605917109,Southwest 59th Street,60.55
node,13485226979,29.127824,-82.2206055,6150,SW 60th Ave,1216,Ocala,FL,34474,,"6150 SW 60th Ave #1216, Ocala FL 34474",72348,3605917109,98834931,Southwest 59th Street,60.72
relation,6325345,29.643890639750058,-82.34979171280358,2001,Museum Road,,Gainesville,FL,32611,,"2001 Museum Road, Gainesville FL 32611",96579,84864004,84863993,Gale Lemerand Drive,60.82
node,4165814699,29.6278254,-82.4579742,10823,Southwest 27th Avenue,,Gainesville,FL,,US,"10823 Southwest 27th Avenue, Gainesville FL, US",111016,6060333073,84826502,Southwest 27th Avenue,60.82
way,1367605130,29.119619119495713,-82.2150630125726,5830,SW College Road,,Ocala,FL,34474,,"5830 SW College Road, Ocala FL 34474",45799,98749058,98810430,,60.85
way,284659298,29.64907784332515,-82.35677752654104,406,Fraternity Drive,,Gainesville,FL,32612,,"406 Fraternity Drive, Gainesville FL 32612",96543,84863807,84882467,Fraternity Drive,60.87
way,1481397799,29.207873433612797,-82.2470763854995,7744,Northwest 21st Street,,Ocala,FL,34482,,"7744 Northwest 21st Street, Ocala FL 34482",50232,98809979,98797234,Northwest 21st Street,60.93
way,1107874728,29.0884523036246,-82.12712140427942,9253,Southeast 7th Avenue,,Ocala,FL,34480,,"9253 Southeast 7th Avenue, Ocala FL 34480",21964,98891211,98910951,Southeast 7th Avenue;Southeast 90th Street,60.95
way,785082519,29.61499135831356,-82.35586384961088,4000,Southwest 23rd Street,,Gainesville,FL,32608,,"4000 Southwest 23rd Street, Gainesville FL 32608",84841,4560980823,2166337257,Southwest 23rd Street,60.97
node,13900436901,29.604241,-82.412514,6500,Southwest Archer Road,,,,32608,,"6500 Southwest Archer Road, 32608",77927,84714224,84714226,Southwest Archer Road,60.97
way,1031001785,29.803342751207786,-82.60130566640495,16118,Northwest 160th Avenue,,High Springs,FL,32643,,"16118 Northwest 160th Avenue, High Springs FL 32643",98155,84871408,84935051,Northwest 243rd Way,61.05
node,4470229599,29.6079022,-82.450515,10137,Southwest 48th Place,,Gainesville,FL,,US,"10137 Southwest 48th Place, Gainesville FL, US",81538,84904542,84905493,Southwest 48th Place,61.07
node,4117461921,29.6430082,-82.4468002,1018,Southwest 98th Street,,Gainesville,FL,,US,"1018 Southwest 98th Street, Gainesville FL, US",102250,84902461,84904226,Southwest 99th Street;Southwest 98th Street;Southwest 9th Place,61.1
node,4165814719,29.6278767,-82.4623167,11285,Southwest 27th Avenue,,Gainesville,FL,,US,"11285 Southwest 27th Avenue, Gainesville FL, US",111010,6060333070,7025986089,Southwest 27th Avenue,61.1
way,409879450,29.63831472334971,-82.4552104805895,10607,Southwest 15th Lane,,Gainesville,FL,,US,"10607 Southwest 15th Lane, Gainesville FL, US",85698,84718513,84718502,Southwest 15th Lane;Southwest 105th Terrace,61.11
way,452713465,29.606761491610584,-82.44297202917309,5124,Southwest 94th Street,,Gainesville,FL,,US,"5124 Southwest 94th Street, Gainesville FL, US",78896,84821748,84763958,Southwest 94th Street,61.2
way,860887637,29.64979938726512,-82.35707999637593,2237,Southwest 2nd Avenue,,Gainesville,FL,32611,,"2237 Southwest 2nd Avenue, Gainesville FL 32611",104068,84920607,84867249,Southwest 2nd Avenue,61.21
node,13422064496,29.6713154,-82.3812305,3830,Northwest 16th Boulevard,,Gainesville,FL,32605,,"3830 Northwest 16th Boulevard, Gainesville FL 32605",99901,84882812,84882814,Northwest 16th Boulevard,61.23
way,294234943,29.64090213673637,-82.37150294201561,1229,Blue Circle,,Gainesville,FL,32612,,"1229 Blue Circle, Gainesville FL 32612",108515,3041198338,2654220485,Blue Circle,61.27
node,13514791863,29.0662322,-82.2771503,9201,Southwest 108th Place,424,Ocala,FL,34481,,"9201 Southwest 108th Place #424, Ocala FL 34481",57817,98850575,1407926528,Southwest 94th Court;Southwest 108th Street,61.28
node,13241564226,29.8524262,-82.5905065,8,,,,,,,8,87127,84792376,7930170695,Northwest 212 Avenue,61.36
way,265893442,29.655473450102185,-82.49481792375356,14130,West Newberry Road,,Newberry,FL,32669-2759,,"14130 West Newberry Road, Newberry FL 32669-2759",109404,3894524809,84790218,Northwest 2nd Lane,61.41
node,4168346774,29.6421714,-82.4426803,9420,Southwest 12th Avenue,,Gainesville,FL,,US,"9420 Southwest 12th Avenue, Gainesville FL, US",103714,84916276,84830549,Southwest 12th Avenue,61.42
way,1287114284,29.607619050000007,-82.4426796,5022,Southwest 94th Street,,Gainesville,FL,,US,"5022 Southwest 94th Street, Gainesville FL, US",78352,84763958,84821748,Southwest 94th Street,61.46
node,13485226901,29.1273381,-82.2190499,6150,SW 60th Ave,1411,Ocala,FL,34474,,"6150 SW 60th Ave #1411, Ocala FL 34474",72349,3605917109,3605917104,Southwest 60th Avenue,61.47
way,220369749,29.65268401142448,-82.33858405057481,1250,West University Avenue,,Gainesville,,32601,,"1250 West University Avenue, Gainesville 32601",106153,1392855493,9872231266,Northwest 13th Street,61.48
way,1190445200,29.040513239017606,-81.92907597466508,12431,Southeast 135 Avenue,,Ocklawaha,FL,32179,,"12431 Southeast 135 Avenue, Ocklawaha FL 32179",10033,98823936,98823933,Southeast 124 Place,61.49
way,918493867,29.214261552970996,-82.05865029543423,5360,East Silver Springs Boulevard,,Silver Springs,FL,34488,,"5360 East Silver Springs Boulevard, Silver Springs FL 34488",35988,5964849580,1576459579,Northeast 55th Avenue,61.52
node,13430728055,29.1712913,-82.1797131,3435,SW 20th St,129,Ocala,FL,34474,,"3435 SW 20th St #129, Ocala FL 34474",75224,9939814128,9939814129,,61.52
node,4484268620,29.602875,-82.4395388,5531,Southwest 91st Terrace,,Gainesville,FL,,US,"5531 Southwest 91st Terrace, Gainesville FL, US",84681,4183765778,84826005,Southwest 91st Terrace;Southwest 56th Place,61.53
node,4168326186,29.6364341,-82.4421466,9331,Southwest 17th Avenue,,Gainesville,FL,,US,"9331 Southwest 17th Avenue, Gainesville FL, US",109184,3790913398,84856297,Southwest 17th Avenue,61.57
way,410578843,29.644714705099624,-82.46069383544975,821,Southwest 112th Street,,Gainesville,FL,,US,"821 Southwest 112th Street, Gainesville FL, US",100824,84888956,84842382,Southwest 112th Street,61.59
way,196848220,29.650970777741765,-82.37126477866825,3315,West University Avenue,,Gainesville,FL,32607-2539,,"3315 West University Avenue, Gainesville FL 32607-2539",112033,7043914171,3879140007,Southwest 2nd Avenue,61.59
way,451710936,29.6052151,-82.44904395,10030,Southwest 52nd Road,,Gainesville,FL,,US,"10030 Southwest 52nd Road, Gainesville FL, US",79458,84834035,84917606,Southwest 52nd Road;Southwest 96th Terrace,61.62
node,4117461929,29.6405605,-82.446827,1304,Southwest 98th Street,,Gainesville,FL,,US,"1304 Southwest 98th Street, Gainesville FL, US",102250,84902461,84904226,Southwest 99th Street;Southwest 98th Street;Southwest 9th Place,61.67
